weekday,time,show,date_scraped,songs_played
Tuesday,7pm - Overnight,Local Music Mix,2022-02-11,"{'Cactus Lee': 'Dave Saves', 'Sara Hickman with Kristin DeWitt': 'The Train Song', 'Austin Lounge Lizards': 'Strange Noises in the Dark', 'Broken Gold': 'Ambulance Faces', 'Dead Animal': 'Praise to the Queen', 'David Rovics': 'Free Abu Sakha', 'Candace Bellamy': 'Skies Are Grey', 'Gary Graves with Ravner Salinas': 'Love is a Dangerous Thing', 'Bee vs. Moth': 'Ugly is the New Black', 'Dwarf Nebula': ""Comin' Around"", 'fortune my foe': 'Lachrimae Pavan', 'Ghosts Along The Brazos': 'Los Brazos de Dios', 'Opposite Day': 'Day Of The Triffids', 'Why Bonnie': 'Voice Box', 'Potential Johns': ""Why'd You Walk Away"", 'Prima Donnas': 'Headfull of Pills', 'Riverboat Gamblers': 'Ice Water', 'Radioactivity': 'World of Pleasure', 'Rod Moag': 'Eight More Miles To Louisville', 'Ramsay Midwood': 'Maybelline Grease', 'Semihelix': 'Only to go on', 'Stop Motion Orchestra': 'Way To Sarov', 'Teri Joyce': 'Kitchen Radio', 'The Bellfuries': 'You Must Be A Loser', 'The Sword': 'Eyes Of The Stormwitch', 'Tony Harrison': 'Baby That Would Sure Go Good', 'Walter Hyatt': 'Teach Me About Love', 'Willie Nelson': ""I'd Have To Be Crazy"", 'Alex Coke': 'Thank You Tony', 'Daniel Johnston': 'True Love Will Find You In The End', 'Holy Wave': ""I'm Not Living in the Past Anymore"", 'Danny & The Nightmares': 'Haunted House', 'Rosie Flores': 'Tremolo', 'The Semi': 'Modulars', 'Hunt Sales Memorial': 'One Day', 'Fee Lion': 'On Me', 'Freddie Steady Krc with Bill Browder': ""You're No Good for Me"", 'Chandra Washington': 'spontaneous vocal improvisation', 'Gina Chavez': 'Miles de Millas', 'Living Grateful': 'Brownstone Gals', 'Hamerzya': ""London '79"", 'Lucid Dementia': 'When The World Leaves You Behind', 'DAYEATER': 'Plastic Ratt', 'Mirror Travel': 'Mexico', 'Mr.Kitty': 'Not Dead Yet', 'New Neon': 'New Pulse', 'Kat Edmonson': 'One Fine Day', 'Akina Adderley & The Vintage Playboys': 'Hypnotized', 'Two High String Band': 'Hello City Limits', 'Harlem': 'Cloud Pleaser', 'Buttercup': 'National Spelling Bee Contest', 'Rescue Mission': 'My Neon Lover', 'Rio Waves': ""Don't Let Me Go"", 'Shapes Have Fangs': 'Rattle and Confuse Me', 'Sin + Seraphim': 'Redemption', 'Naga Brujo': 'Chaodyssey', 'SINE': 'Love High', 'Amanda Pascali': 'Tarantella Avion', 'Tameca Jones': 'Hot And Bothered', 'Carrie Elkins & Danny Schmidt': 'Proposal Song', 'Single Lash': 'Frozen Honey', 'George Kinney': 'When You Cry', 'Grace Pettis': 'Abilene', 'Don Diego Trio': 'Suspicious', 'James Hand': 'Just an Old Man with an Old Song', 'Temple of Angels': 'Cerise Dream', 'The Nimbus': 'Fever', 'Bill Callahan': 'If You Could Touch Her At All', 'Blastfamous USA': 'Not Your City', 'Honky': ""Baby Don't Slow Down"", 'Glass Eye': 'Endless Day', 'Spray Paint': 'Fleshy Boy', 'Marijuana Sweet Tooth': 'Utopia, TX', 'UtinUtin': 'Your House', 'WE Are The Asteroid': 'Trilogy', ""Uncle Walt's Band"": ""Don't You Think I Feel It Too"", 'The Octopus Project': ""Bees Bein' Strugglin'"", 'Bo Bud Greene': 'Flaw', 'Chronophage': 'Not to Dream Again', 'Townes Van Zandt': 'Fare Thee Well, Miss Carousel', 'Emora': 'The Seed', 'Espectrostatic': 'Escape from Witchtropolis', 'Excercise': 'Information', 'Explosives': 'A Girl Like You', 'Hi, Gene!': 'Grapeland', ""Nick Garza's Get Along"": 'Muchacha', 'Brian Scartocci': 'Sweet Funky Nonsense', 'The Sun Machine': 'Sound Of Dissent', 'Eddie Spaghetti': 'Empty', 'Inhalants': 'It Was Hyper Real', 'Indrajit': 'Afternoon Raga', 'Guy Forsyth': ""She's Crazy Now"", 'Emjae Ross and Bill Blue Bushey': 'Around the World Blues', 'Jason Roberts and Rick McRae': 'I Hear You Talkin’', 'Black Ladder': 'Magic Doctor', 'Blushing': 'Control', 'Butthole Surfers': 'I Saw an X', 'Crocodile': 'I Was Dreaming', 'Del Castillo': 'Brotherhood', 'Grupo Fantasma': 'Arroz Con Frijoles', 'Future Clouds & Radar': 'Backseat Silver Jet Sighter', 'Jeff Hughes & Chaparral': 'Just Like Heaven', 'Sunray Project': 'Yellam Aliparre', 'The Aaron Clift Experiment': 'Kissed By The Sun', 'Thirteen Of Everything': 'Life Is Change', 'Pelvis Wrestley': 'Susanna', 'Bad Boy Croy': 'Family Man', 'Caleb de Casper': 'Elephants', 'Pork': 'Grand Slam Baby', 'Rocket 808': 'Rocket 808', 'Little Mazarn': 'My Love Is All Around You', 'Sam Pankey, Daniel Dufour, Damian Garcia': '501', 'Dana Cooper': 'Harry Truman Built a Road', 'John Lilly': 'In Time', 'Ian McDougal of Broken Gold': 'Turning Blue', ""Hot Pickin' 57s"": 'Back in the Day', 'John Schooley and Walter Daniels': 'Dead Mall Blues', 'Wild Seeds': 'She Said', 'Graham Reynolds': 'Police Station', 'Charlie Belle': 'Six', 'Emme': 'Enjoy The Silence', 'Hovvdy': 'Mr. Lee', 'Jerry David DeCicca': 'Splendid Isolation', 'Kay Odyssey': 'Reach To You', 'Future Museums': 'Leaving the Vessel', 'Orange Mothers': 'Family Affair', 'Brandon DeMaris': 'Family', 'Aimee Bobruk': 'A Day In The Life', 'Hot Club of Cowtown': 'Sleep', 'Origami Ghosts': 'Keeper Sutherland', 'Ringo Deathstarr': 'Cotton Candy Clouds', 'Sixteen Deluxe': 'Hit It', 'Kalu and the Electric Joint': 'Can of Invisible Paint', 'Jonathan Edwards': 'Sunshine', 'Jon Hogan and Maria Moss': 'Leaky Tent', 'Spoon': 'Dismember', 'The 13th Floor Elevators': 'She Lives', 'Being Dead': 'Wild Man', 'Kris Schultz': 'Return Address', 'Twigs & Yarn': 'Lend A Hand', 'Crisman': 'Icee Blue', 'Amy Cook': 'Get It RIght', 'Suzanna Choffel': 'Archer', 'Crooks': 'River Road', 'Wine And Revolution': 'Trees', 'Butch Hancock': 'Chase', 'Lucinda Williams': 'Lonely girls', 'Keanu Reef': 'Central Texas Surf', 'Roky Erickson': 'Two Headed Dog', 'Sara Hickman': 'Tasty Sweet', 'Andrea Dawson': ""You Just Can't Get It Sittin' Down"", 'Joe King Carrasco': 'Pachuco Hop', 'Bob Schneider': 'Let The Light In', 'Michael Martin Murphey': ""Geronimo's Cadillac"", ""Mo' Debly"": 'Element', 'Jon Langford': ""Hell's Roof"", 'Jimmy LaFave': 'Desperate Men Do Desperate Things', 'My Exotic Other': 'My Exotic Other', 'Ronnie Lane': 'Kuschty Rye'}"
Wednesday,8am - 9am,Local Music Mix,2022-02-11,"{'Cactus Lee': 'Dave Saves', 'Sara Hickman with Kristin DeWitt': 'The Train Song', 'Austin Lounge Lizards': 'Strange Noises in the Dark', 'Broken Gold': 'Ambulance Faces', 'Dead Animal': 'Praise to the Queen', 'David Rovics': 'Free Abu Sakha', 'Candace Bellamy': 'Skies Are Grey', 'Gary Graves with Ravner Salinas': 'Love is a Dangerous Thing', 'Bee vs. Moth': 'Ugly is the New Black', 'Dwarf Nebula': ""Comin' Around"", 'fortune my foe': 'Lachrimae Pavan', 'Ghosts Along The Brazos': 'Los Brazos de Dios', 'Opposite Day': 'Day Of The Triffids', 'Why Bonnie': 'Voice Box', 'Potential Johns': ""Why'd You Walk Away"", 'Prima Donnas': 'Headfull of Pills', 'Riverboat Gamblers': 'Ice Water', 'Radioactivity': 'World of Pleasure', 'Rod Moag': 'Eight More Miles To Louisville', 'Ramsay Midwood': 'Maybelline Grease', 'Semihelix': 'Only to go on', 'Stop Motion Orchestra': 'Way To Sarov', 'Teri Joyce': 'Kitchen Radio', 'The Bellfuries': 'You Must Be A Loser', 'The Sword': 'Eyes Of The Stormwitch', 'Tony Harrison': 'Baby That Would Sure Go Good', 'Walter Hyatt': 'Teach Me About Love', 'Willie Nelson': ""I'd Have To Be Crazy"", 'Alex Coke': 'Thank You Tony', 'Daniel Johnston': 'True Love Will Find You In The End', 'Holy Wave': ""I'm Not Living in the Past Anymore"", 'Danny & The Nightmares': 'Haunted House', 'Rosie Flores': 'Tremolo', 'The Semi': 'Modulars', 'Hunt Sales Memorial': 'One Day', 'Fee Lion': 'On Me', 'Freddie Steady Krc with Bill Browder': ""You're No Good for Me"", 'Chandra Washington': 'spontaneous vocal improvisation', 'Gina Chavez': 'Miles de Millas', 'Living Grateful': 'Brownstone Gals', 'Hamerzya': ""London '79"", 'Lucid Dementia': 'When The World Leaves You Behind', 'DAYEATER': 'Plastic Ratt', 'Mirror Travel': 'Mexico', 'Mr.Kitty': 'Not Dead Yet', 'New Neon': 'New Pulse', 'Kat Edmonson': 'One Fine Day', 'Akina Adderley & The Vintage Playboys': 'Hypnotized', 'Two High String Band': 'Hello City Limits', 'Harlem': 'Cloud Pleaser', 'Buttercup': 'National Spelling Bee Contest', 'Rescue Mission': 'My Neon Lover', 'Rio Waves': ""Don't Let Me Go"", 'Shapes Have Fangs': 'Rattle and Confuse Me', 'Sin + Seraphim': 'Redemption', 'Naga Brujo': 'Chaodyssey', 'SINE': 'Love High', 'Amanda Pascali': 'Tarantella Avion', 'Tameca Jones': 'Hot And Bothered', 'Carrie Elkins & Danny Schmidt': 'Proposal Song', 'Single Lash': 'Frozen Honey', 'George Kinney': 'When You Cry', 'Grace Pettis': 'Abilene', 'Don Diego Trio': 'Suspicious', 'James Hand': 'Just an Old Man with an Old Song', 'Temple of Angels': 'Cerise Dream', 'The Nimbus': 'Fever', 'Bill Callahan': 'If You Could Touch Her At All', 'Blastfamous USA': 'Not Your City', 'Honky': ""Baby Don't Slow Down"", 'Glass Eye': 'Endless Day', 'Spray Paint': 'Fleshy Boy', 'Marijuana Sweet Tooth': 'Utopia, TX', 'UtinUtin': 'Your House', 'WE Are The Asteroid': 'Trilogy', ""Uncle Walt's Band"": ""Don't You Think I Feel It Too"", 'The Octopus Project': ""Bees Bein' Strugglin'"", 'Bo Bud Greene': 'Flaw', 'Chronophage': 'Not to Dream Again', 'Townes Van Zandt': 'Fare Thee Well, Miss Carousel', 'Emora': 'The Seed', 'Espectrostatic': 'Escape from Witchtropolis', 'Excercise': 'Information', 'Explosives': 'A Girl Like You', 'Hi, Gene!': 'Grapeland', ""Nick Garza's Get Along"": 'Muchacha', 'Brian Scartocci': 'Sweet Funky Nonsense', 'The Sun Machine': 'Sound Of Dissent', 'Eddie Spaghetti': 'Empty', 'Inhalants': 'It Was Hyper Real', 'Indrajit': 'Afternoon Raga', 'Guy Forsyth': ""She's Crazy Now"", 'Emjae Ross and Bill Blue Bushey': 'Around the World Blues', 'Jason Roberts and Rick McRae': 'I Hear You Talkin’', 'Black Ladder': 'Magic Doctor', 'Blushing': 'Control', 'Butthole Surfers': 'I Saw an X', 'Crocodile': 'I Was Dreaming', 'Del Castillo': 'Brotherhood', 'Grupo Fantasma': 'Arroz Con Frijoles', 'Future Clouds & Radar': 'Backseat Silver Jet Sighter', 'Jeff Hughes & Chaparral': 'Just Like Heaven', 'Sunray Project': 'Yellam Aliparre', 'The Aaron Clift Experiment': 'Kissed By The Sun', 'Thirteen Of Everything': 'Life Is Change', 'Pelvis Wrestley': 'Susanna', 'Bad Boy Croy': 'Family Man', 'Caleb de Casper': 'Elephants', 'Pork': 'Grand Slam Baby', 'Rocket 808': 'Rocket 808', 'Little Mazarn': 'My Love Is All Around You', 'Sam Pankey, Daniel Dufour, Damian Garcia': '501', 'Dana Cooper': 'Harry Truman Built a Road', 'John Lilly': 'In Time', 'Ian McDougal of Broken Gold': 'Turning Blue', ""Hot Pickin' 57s"": 'Back in the Day', 'John Schooley and Walter Daniels': 'Dead Mall Blues', 'Wild Seeds': 'She Said', 'Graham Reynolds': 'Police Station', 'Charlie Belle': 'Six', 'Emme': 'Enjoy The Silence', 'Hovvdy': 'Mr. Lee', 'Jerry David DeCicca': 'Splendid Isolation', 'Kay Odyssey': 'Reach To You', 'Future Museums': 'Leaving the Vessel', 'Orange Mothers': 'Family Affair', 'Brandon DeMaris': 'Family', 'Aimee Bobruk': 'A Day In The Life', 'Hot Club of Cowtown': 'Sleep', 'Origami Ghosts': 'Keeper Sutherland', 'Ringo Deathstarr': 'Cotton Candy Clouds', 'Sixteen Deluxe': 'Hit It', 'Kalu and the Electric Joint': 'Can of Invisible Paint', 'Jonathan Edwards': 'Sunshine', 'Jon Hogan and Maria Moss': 'Leaky Tent', 'Spoon': 'Dismember', 'The 13th Floor Elevators': 'She Lives', 'Being Dead': 'Wild Man', 'Kris Schultz': 'Return Address', 'Twigs & Yarn': 'Lend A Hand', 'Crisman': 'Icee Blue', 'Amy Cook': 'Get It RIght', 'Suzanna Choffel': 'Archer', 'Crooks': 'River Road', 'Wine And Revolution': 'Trees', 'Butch Hancock': 'Chase', 'Lucinda Williams': 'Lonely girls', 'Keanu Reef': 'Central Texas Surf', 'Roky Erickson': 'Two Headed Dog', 'Sara Hickman': 'Tasty Sweet', 'Andrea Dawson': ""You Just Can't Get It Sittin' Down"", 'Joe King Carrasco': 'Pachuco Hop', 'Bob Schneider': 'Let The Light In', 'Michael Martin Murphey': ""Geronimo's Cadillac"", ""Mo' Debly"": 'Element', 'Jon Langford': ""Hell's Roof"", 'Jimmy LaFave': 'Desperate Men Do Desperate Things', 'My Exotic Other': 'My Exotic Other', 'Ronnie Lane': 'Kuschty Rye'}"
Wednesday,9am - 11am,Fais Do Do,2022-02-11,{'The Octopus Project': 'Upmann'}
Wednesday,11am - 12pm,Around the Town Sounds,2022-02-11,"{'Kit Holmes': 'Return to Love', 'Built to Spill': 'Life in Vain', 'Christine Albert': ""Everything's Beautiful Now"", 'Katie Cash': 'Beautiful Day', 'Brian MacLeods HiFi': ""Words That Don't Make Any Sense"", 'Kat Edmonson': 'Not My Time', 'Jimmy Vaughan': 'Come Love', 'Billy Winston': 'Do Bop', 'Milkdrive': 'John Paul', 'Tahoma': 'Hideaway', 'Sword': 'Used Future', 'Will Evans Project': 'Dead Wrong', 'Black Pumas': 'Black Moon Rising', 'Wiretree': 'In the City', 'Hot Texas Swing Band': 'The Good, the Bad & the Ugly', 'Night Drive': 'Unsaid'}"
Wednesday,12pm - 1pm,International Folk Bazaar,2022-02-11,"{'Las Malas Amistades (Colombia)': 'Maleza', 'Tomas Kocko and Orchestra (Czechia/Moravia)': 'Hopaj Hop', 'Molo Sayat (Lebanon/Belgium)': 'Adame', 'Ricardo Tesi and Friends (Italy)': 'Lu Rusciu De Lu Mare', 'Trio Zajazi (Kosovo/Albania)': 'Vajzen Tuje Ne Mor Nuk E Dume', 'Divanhana (Bosnia)': 'Cilim', 'Francis Macharla (Kenya)': 'Wanjuri Wanjuri', 'L. Subramaniam (India)': 'Jai Hanuman', 'Norma Waterson (UK)': 'Song for Thirza', 'Norma Waterson and Eliza Carthy with the Gift Band (UK)': 'Twinkle Twinkle Little Star', 'Mighty Popo (Rwanda)': 'Muhazi', 'Kamanių Šilelis (Lithuania)': 'Žuvų Šukelėm', 'Abou Diarra (Mali)': 'Abounicolas', 'Canan Uzerli (Turkey)': 'Zaman'}"
Wednesday,2pm - 3pm,Texas Music Office's Texas Music Mixtape,2022-02-11,"{'Don Cherry, Dewey Redman, Charlie Haden, Ed Blackwell': 'Togo', 'Billy Preston': 'Nothing From Nothing', 'The Beatles, Billy Preston': 'Get Back', 'Barbara Lynn': ""You'll Lose A Good Thing"", 'BLK ODYSSY': 'FUNKENTOLOGY', 'Tameca Jones': 'Gimmie That', 'Bobby Sessions': 'Made A Way', 'Hannibal Lokumbe': 'Dear Mrs. Parks: For the Future'}"
Wednesday,3pm - 4:30pm,The Hippy Campus,2022-02-11,"{'Devo': 'S.I.B.', 'U2': 'The Ocean', 'Beak >': 'Spinning Top', 'Bauhaus': 'In Fear of Dub', 'Robert Fripp featuring David Byrne': 'Under Heavy Manners', 'Siouxsie & The Banshees': 'She Cracked', 'The Sex Pistols': 'Holidays In The Sun', 'Queens Of The Stone Age': 'Medication', 'David Bowie': 'Teenage Wildlife', 'X': 'Blue Spark', 'Mr. Bungle': 'Ars Moriendi', 'Fred Frith': 'Carnival On Wall Street', 'The Fall': ""Couldn't Get Ahead"", 'Snakefinger': 'The Model', 'Tom Tom Club': 'Lorelei', 'The Rolling Stones': ""Troubles A' Comin"", 'Elvis Costello': 'Trick Out The Truth', 'Stereolab': 'Margerine Rock', 'Kate Bush': 'Experiment IV', 'The Breeders': 'Flipside', 'Joy Division': 'A Means To An End [High Wycombe Hall Live 20 February 1980]', 'XTC': 'This Is Pop [Live In Concert Hammersmith Palais 22.12.80]', 'They Might Be Giants': 'Shoehorn With Teeth', 'Phil Manzanera': 'Europe 80'}"
Wednesday,4:30pm - 6pm,Crate Digger's Gold,2022-02-11,"{'Martin Denny': 'Quiet Village', 'Jimmy Reed': 'Too Much', 'Ben Harper': 'Driveway Blues', 'Nina Simone': 'Willow Weep For Me', 'Albert King': 'You Sure Drive A Hard Bargain', 'Clifton Chenier': 'Bad Luck and Trouble', 'The Floyd Morris Trio': 'Organ Blues', 'Howard McGhee and The Blazers': ""House Warmin'"", 'Piano Red': ""Rockin' With Red"", 'The Clovers': 'Little Mama', 'Huey Piano Smith and The Clowns': ""Don't You Just Know It"", 'Groove Holmes': ""Groove's Groove"", 'Chick Willis': ""Twistin' In the Hospital Ward"", 'Chyvonne Scott': ""I'm Moving On"", 'Percy Mayfield': 'Memory Pain', 'Jay Dee Bryant': 'Get It', 'Jr. Parker & The All Stars': 'Any Way You Wanna', 'Yusef Lateef': 'Nubian Lady', 'Roberta Flack': 'Compared To What', 'Johnny Hammond': ""It's Too Late"", 'Carole King': 'I Feel The Earth Move', 'The Isley Brothers': ""It's Too Late"", 'Theolonious Monk Trio': 'Blue Monk'}"
Wednesday,7pm - 8pm,Czech Melody Time,2022-02-11,"{'Joe Patek Orch': 'Shiner Song', 'Texas Sound Check Band': 'You Are Like A Rose polka', 'All Around Czechs': 'Love Letter waltz', 'Jodie Mikula Orch': ""What's Your Hurry polka"", 'Czech & Then Some': 'Roadside waltz', 'Ennis Czech Boys': 'From Tabor to Us', 'The Moravians': ""Lover's Kiss waltz"", 'Mark Halata & Texavia': 'I Had A Girlfriend', 'Lee Roy Matocha Orch': 'Charms of Your Beautiful Dark Eyes', ""Littl' Fishermen Orch"": 'You & Me', 'Bill Mraz Orch': 'I Love You waltz', 'Brian Marshall & his Tex Slavic Palyboys': 'Siwi Kon', 'Harry Czarnek & the Texas Dutchmen': 'Tidings of Love polka'}"
Wednesday,8pm - Overnight,Local Music Mix,2022-02-11,"{'Cactus Lee': 'Dave Saves', 'Sara Hickman with Kristin DeWitt': 'The Train Song', 'Austin Lounge Lizards': 'Strange Noises in the Dark', 'Broken Gold': 'Ambulance Faces', 'Dead Animal': 'Praise to the Queen', 'David Rovics': 'Free Abu Sakha', 'Candace Bellamy': 'Skies Are Grey', 'Gary Graves with Ravner Salinas': 'Love is a Dangerous Thing', 'Bee vs. Moth': 'Ugly is the New Black', 'Dwarf Nebula': ""Comin' Around"", 'fortune my foe': 'Lachrimae Pavan', 'Ghosts Along The Brazos': 'Los Brazos de Dios', 'Opposite Day': 'Day Of The Triffids', 'Why Bonnie': 'Voice Box', 'Potential Johns': ""Why'd You Walk Away"", 'Prima Donnas': 'Headfull of Pills', 'Riverboat Gamblers': 'Ice Water', 'Radioactivity': 'World of Pleasure', 'Rod Moag': 'Eight More Miles To Louisville', 'Ramsay Midwood': 'Maybelline Grease', 'Semihelix': 'Only to go on', 'Stop Motion Orchestra': 'Way To Sarov', 'Teri Joyce': 'Kitchen Radio', 'The Bellfuries': 'You Must Be A Loser', 'The Sword': 'Eyes Of The Stormwitch', 'Tony Harrison': 'Baby That Would Sure Go Good', 'Walter Hyatt': 'Teach Me About Love', 'Willie Nelson': ""I'd Have To Be Crazy"", 'Alex Coke': 'Thank You Tony', 'Daniel Johnston': 'True Love Will Find You In The End', 'Holy Wave': ""I'm Not Living in the Past Anymore"", 'Danny & The Nightmares': 'Haunted House', 'Rosie Flores': 'Tremolo', 'The Semi': 'Modulars', 'Hunt Sales Memorial': 'One Day', 'Fee Lion': 'On Me', 'Freddie Steady Krc with Bill Browder': ""You're No Good for Me"", 'Chandra Washington': 'spontaneous vocal improvisation', 'Gina Chavez': 'Miles de Millas', 'Living Grateful': 'Brownstone Gals', 'Hamerzya': ""London '79"", 'Lucid Dementia': 'When The World Leaves You Behind', 'DAYEATER': 'Plastic Ratt', 'Mirror Travel': 'Mexico', 'Mr.Kitty': 'Not Dead Yet', 'New Neon': 'New Pulse', 'Kat Edmonson': 'One Fine Day', 'Akina Adderley & The Vintage Playboys': 'Hypnotized', 'Two High String Band': 'Hello City Limits', 'Harlem': 'Cloud Pleaser', 'Buttercup': 'National Spelling Bee Contest', 'Rescue Mission': 'My Neon Lover', 'Rio Waves': ""Don't Let Me Go"", 'Shapes Have Fangs': 'Rattle and Confuse Me', 'Sin + Seraphim': 'Redemption', 'Naga Brujo': 'Chaodyssey', 'SINE': 'Love High', 'Amanda Pascali': 'Tarantella Avion', 'Tameca Jones': 'Hot And Bothered', 'Carrie Elkins & Danny Schmidt': 'Proposal Song', 'Single Lash': 'Frozen Honey', 'George Kinney': 'When You Cry', 'Grace Pettis': 'Abilene', 'Don Diego Trio': 'Suspicious', 'James Hand': 'Just an Old Man with an Old Song', 'Temple of Angels': 'Cerise Dream', 'The Nimbus': 'Fever', 'Bill Callahan': 'If You Could Touch Her At All', 'Blastfamous USA': 'Not Your City', 'Honky': ""Baby Don't Slow Down"", 'Glass Eye': 'Endless Day', 'Spray Paint': 'Fleshy Boy', 'Marijuana Sweet Tooth': 'Utopia, TX', 'UtinUtin': 'Your House', 'WE Are The Asteroid': 'Trilogy', ""Uncle Walt's Band"": ""Don't You Think I Feel It Too"", 'The Octopus Project': ""Bees Bein' Strugglin'"", 'Bo Bud Greene': 'Flaw', 'Chronophage': 'Not to Dream Again', 'Townes Van Zandt': 'Fare Thee Well, Miss Carousel', 'Emora': 'The Seed', 'Espectrostatic': 'Escape from Witchtropolis', 'Excercise': 'Information', 'Explosives': 'A Girl Like You', 'Hi, Gene!': 'Grapeland', ""Nick Garza's Get Along"": 'Muchacha', 'Brian Scartocci': 'Sweet Funky Nonsense', 'The Sun Machine': 'Sound Of Dissent', 'Eddie Spaghetti': 'Empty', 'Inhalants': 'It Was Hyper Real', 'Indrajit': 'Afternoon Raga', 'Guy Forsyth': ""She's Crazy Now"", 'Emjae Ross and Bill Blue Bushey': 'Around the World Blues', 'Jason Roberts and Rick McRae': 'I Hear You Talkin’', 'Black Ladder': 'Magic Doctor', 'Blushing': 'Control', 'Butthole Surfers': 'I Saw an X', 'Crocodile': 'I Was Dreaming', 'Del Castillo': 'Brotherhood', 'Grupo Fantasma': 'Arroz Con Frijoles', 'Future Clouds & Radar': 'Backseat Silver Jet Sighter', 'Jeff Hughes & Chaparral': 'Just Like Heaven', 'Sunray Project': 'Yellam Aliparre', 'The Aaron Clift Experiment': 'Kissed By The Sun', 'Thirteen Of Everything': 'Life Is Change', 'Pelvis Wrestley': 'Susanna', 'Bad Boy Croy': 'Family Man', 'Caleb de Casper': 'Elephants', 'Pork': 'Grand Slam Baby', 'Rocket 808': 'Rocket 808', 'Little Mazarn': 'My Love Is All Around You', 'Sam Pankey, Daniel Dufour, Damian Garcia': '501', 'Dana Cooper': 'Harry Truman Built a Road', 'John Lilly': 'In Time', 'Ian McDougal of Broken Gold': 'Turning Blue', ""Hot Pickin' 57s"": 'Back in the Day', 'John Schooley and Walter Daniels': 'Dead Mall Blues', 'Wild Seeds': 'She Said', 'Graham Reynolds': 'Police Station', 'Charlie Belle': 'Six', 'Emme': 'Enjoy The Silence', 'Hovvdy': 'Mr. Lee', 'Jerry David DeCicca': 'Splendid Isolation', 'Kay Odyssey': 'Reach To You', 'Future Museums': 'Leaving the Vessel', 'Orange Mothers': 'Family Affair', 'Brandon DeMaris': 'Family', 'Aimee Bobruk': 'A Day In The Life', 'Hot Club of Cowtown': 'Sleep', 'Origami Ghosts': 'Keeper Sutherland', 'Ringo Deathstarr': 'Cotton Candy Clouds', 'Sixteen Deluxe': 'Hit It', 'Kalu and the Electric Joint': 'Can of Invisible Paint', 'Jonathan Edwards': 'Sunshine', 'Jon Hogan and Maria Moss': 'Leaky Tent', 'Spoon': 'Dismember', 'The 13th Floor Elevators': 'She Lives', 'Being Dead': 'Wild Man', 'Kris Schultz': 'Return Address', 'Twigs & Yarn': 'Lend A Hand', 'Crisman': 'Icee Blue', 'Amy Cook': 'Get It RIght', 'Suzanna Choffel': 'Archer', 'Crooks': 'River Road', 'Wine And Revolution': 'Trees', 'Butch Hancock': 'Chase', 'Lucinda Williams': 'Lonely girls', 'Keanu Reef': 'Central Texas Surf', 'Roky Erickson': 'Two Headed Dog', 'Sara Hickman': 'Tasty Sweet', 'Andrea Dawson': ""You Just Can't Get It Sittin' Down"", 'Joe King Carrasco': 'Pachuco Hop', 'Bob Schneider': 'Let The Light In', 'Michael Martin Murphey': ""Geronimo's Cadillac"", ""Mo' Debly"": 'Element', 'Jon Langford': ""Hell's Roof"", 'Jimmy LaFave': 'Desperate Men Do Desperate Things', 'My Exotic Other': 'My Exotic Other', 'Ronnie Lane': 'Kuschty Rye'}"
